time,o,h,l,c,volume,complete
2020-08-11 13:00:00,1963.528,1963.712,1960.858,1961.088,253,True
2020-08-11 13:00:30,1961.04,1961.64,1960.005,1960.696,228,True
2020-08-11 13:01:00,1960.798,1961.793,1958.582,1958.582,222,True
2020-08-11 13:01:30,1958.662,1959.984,1958.662,1959.376,200,True
2020-08-11 13:02:00,1959.441,1962.618,1959.441,1962.036,176,True
2020-08-11 13:02:30,1962.118,1962.669,1961.052,1961.474,96,True
2020-08-11 13:03:00,1961.416,1962.402,1960.43,1961.452,174,True
2020-08-11 13:03:30,1961.534,1962.405,1959.721,1959.838,149,True
2020-08-11 13:04:00,1959.926,1959.926,1958.93,1959.45,183,True
2020-08-11 13:04:30,1959.406,1959.418,1957.516,1957.516,149,True
2020-08-11 13:05:00,1957.57,1959.13,1955.569,1955.8,203,True
2020-08-11 13:05:30,1955.752,1956.028,1953.862,1954.355,170,True
2020-08-11 13:06:00,1954.27,1955.057,1953.951,1954.331,98,True
2020-08-11 13:06:30,1954.234,1954.323,1950.38,1950.492,222,True
2020-08-11 13:07:00,1950.56,1951.808,1948.238,1948.742,441,True
2020-08-11 13:07:30,1948.846,1948.949,1946.386,1946.531,409,True
2020-08-11 13:08:00,1946.431,1947.118,1943.556,1943.903,428,True
2020-08-11 13:08:30,1943.858,1948.988,1943.348,1947.339,456,True
2020-08-11 13:09:00,1947.423,1949.423,1946.739,1947.798,232,True
2020-08-11 13:09:30,1947.881,1948.694,1945.499,1946.987,210,True
2020-08-11 13:10:00,1947.076,1947.671,1945.44,1947.118,260,True
2020-08-11 13:10:30,1947.196,1947.281,1943.19,1943.696,296,True
2020-08-11 13:11:00,1943.654,1943.654,1938.133,1941.558,422,True
2020-08-11 13:11:30,1941.613,1943.286,1941.257,1942.494,230,True
2020-08-11 13:12:00,1942.446,1943.568,1940.854,1941.107,318,True
2020-08-11 13:12:30,1941.175,1941.841,1939.62,1941.152,248,True
2020-08-11 13:13:00,1941.204,1946.771,1941.122,1944.449,220,True
2020-08-11 13:13:30,1944.539,1945.47,1944.5,1944.822,150,True
2020-08-11 13:14:00,1944.773,1944.851,1942.06,1942.342,245,True
2020-08-11 13:14:30,1942.405,1942.61,1941.849,1942.362,131,True
2020-08-11 13:15:00,1942.31,1944.655,1942.253,1943.396,164,True
2020-08-11 13:15:30,1943.288,1944.413,1941.794,1943.451,185,True
2020-08-11 13:16:00,1943.394,1944.703,1942.411,1943.436,147,True
2020-08-11 13:16:30,1943.488,1944.416,1943.386,1944.126,106,True
2020-08-11 13:17:00,1944.07,1944.202,1940.97,1941.04,187,True
2020-08-11 13:17:30,1940.978,1942.62,1940.506,1940.652,157,True
2020-08-11 13:18:00,1940.706,1945.758,1940.706,1945.146,221,True
2020-08-11 13:18:30,1945.316,1946.748,1945.104,1945.898,130,True
2020-08-11 13:19:00,1945.988,1947.192,1945.52,1946.13,158,True
2020-08-11 13:19:30,1946.088,1946.378,1944.8,1944.974,172,True
2020-08-11 13:20:00,1945.022,1946.838,1944.934,1946.534,239,True
2020-08-11 13:20:30,1946.358,1946.54,1944.85,1944.882,155,True
2020-08-11 13:21:00,1944.772,1945.224,1944.772,1945.224,87,True
2020-08-11 13:21:30,1945.268,1949.384,1945.062,1949.384,153,True
2020-08-11 13:22:00,1949.309,1951.102,1948.299,1950.74,214,True
2020-08-11 13:22:30,1950.622,1951.643,1949.778,1949.984,121,True
2020-08-11 13:23:00,1949.898,1949.941,1948.576,1949.327,131,True
2020-08-11 13:23:30,1949.382,1950.763,1949.382,1949.774,122,True
2020-08-11 13:24:00,1949.855,1951.069,1948.985,1951.069,95,True
2020-08-11 13:24:30,1951.152,1953.435,1950.913,1952.865,98,True
2020-08-11 13:25:00,1952.777,1952.777,1951.387,1951.658,73,True
2020-08-11 13:25:30,1951.742,1952.425,1951.062,1951.536,141,True
2020-08-11 13:26:00,1951.614,1952.43,1951.32,1951.522,143,True
2020-08-11 13:26:30,1951.473,1951.857,1948.958,1949.827,169,True
2020-08-11 13:27:00,1949.94,1953.168,1949.84,1952.508,165,True
2020-08-11 13:27:30,1952.425,1953.91,1952.327,1953.864,98,True
2020-08-11 13:28:00,1953.945,1955.598,1953.401,1954.084,142,True
2020-08-11 13:28:30,1953.964,1955.397,1953.879,1954.473,88,True
2020-08-11 13:29:00,1954.388,1955.727,1953.397,1954.803,127,True
2020-08-11 13:29:30,1954.858,1955.34,1954.274,1954.514,126,True
2020-08-11 13:30:00,1954.454,1954.667,1950.21,1950.652,294,True
2020-08-11 13:30:30,1950.751,1952.82,1949.658,1952.701,219,True
2020-08-11 13:31:00,1952.786,1953.69,1952.105,1952.77,162,True
2020-08-11 13:31:30,1952.854,1956.145,1952.802,1955.304,176,True
2020-08-11 13:32:00,1955.398,1956.559,1954.332,1954.736,146,True
2020-08-11 13:32:30,1954.826,1956.649,1954.272,1955.476,103,True
2020-08-11 13:33:00,1955.39,1955.39,1952.813,1952.817,171,True
2020-08-11 13:33:30,1952.774,1953.571,1951.49,1951.536,185,True
2020-08-11 13:34:00,1951.486,1952.912,1950.828,1951.208,194,True
2020-08-11 13:34:30,1951.168,1951.56,1950.078,1951.188,205,True
2020-08-11 13:35:00,1951.258,1952.662,1950.369,1952.301,207,True
2020-08-11 13:35:30,1952.366,1953.308,1952.18,1952.285,133,True
2020-08-11 13:36:00,1952.326,1953.755,1951.62,1953.587,154,True
2020-08-11 13:36:30,1953.496,1955.578,1953.496,1955.033,104,True
2020-08-11 13:37:00,1954.95,1955.649,1953.745,1954.846,148,True
2020-08-11 13:37:30,1954.792,1957.445,1954.734,1957.11,128,True
2020-08-11 13:38:00,1957.023,1957.063,1955.403,1956.638,111,True
2020-08-11 13:38:30,1956.68,1957.276,1955.246,1956.314,139,True
2020-08-11 13:39:00,1956.447,1957.67,1956.447,1957.546,110,True
2020-08-11 13:39:30,1957.594,1958.441,1957.509,1958.128,100,True
2020-08-11 13:40:00,1958.086,1958.086,1955.932,1956.374,208,True
2020-08-11 13:40:30,1956.439,1956.48,1954.888,1954.888,150,True
2020-08-11 13:41:00,1954.845,1955.018,1953.156,1954.749,197,True
2020-08-11 13:41:30,1954.68,1955.659,1954.472,1955.612,117,True
2020-08-11 13:42:00,1955.658,1955.978,1954.058,1955.1,137,True
2020-08-11 13:42:30,1955.153,1955.153,1953.968,1954.434,118,True
2020-08-11 13:43:00,1954.382,1956.318,1954.263,1956.246,104,True
2020-08-11 13:43:30,1956.288,1956.334,1955.643,1955.849,93,True
2020-08-11 13:44:00,1955.804,1955.804,1954.161,1955.224,98,True
2020-08-11 13:44:30,1955.267,1956.85,1955.267,1956.828,102,True
2020-08-11 13:45:00,1956.766,1957.424,1956.012,1956.566,134,True
2020-08-11 13:45:30,1956.506,1956.506,1953.126,1953.28,165,True
2020-08-11 13:46:00,1953.324,1954.897,1953.05,1954.663,144,True
2020-08-11 13:46:30,1954.706,1954.706,1953.297,1953.482,133,True
2020-08-11 13:47:00,1953.44,1953.493,1951.232,1951.279,182,True
2020-08-11 13:47:30,1951.238,1951.238,1949.896,1950.823,129,True
2020-08-11 13:48:00,1950.741,1952.486,1950.734,1951.402,104,True
2020-08-11 13:48:30,1951.32,1952.499,1951.227,1951.746,94,True
2020-08-11 13:49:00,1951.664,1952.46,1949.87,1950.289,185,True
2020-08-11 13:49:30,1950.248,1950.376,1948.348,1949.018,211,True
2020-08-11 13:50:00,1949.071,1949.266,1947.04,1947.286,253,True
2020-08-11 13:50:30,1947.244,1950.1,1946.392,1948.834,143,True
