time,o,h,l,c,volume,complete
2020-08-11 08:37:30,1987.18,1987.488,1986.707,1986.8,42,True
2020-08-11 08:38:00,1986.846,1987.406,1986.636,1986.642,47,True
2020-08-11 08:38:30,1986.59,1987.504,1986.258,1987.22,58,True
2020-08-11 08:39:00,1987.262,1987.949,1987.19,1987.949,56,True
2020-08-11 08:39:30,1987.998,1988.092,1987.536,1987.676,41,True
2020-08-11 08:40:00,1987.724,1987.866,1987.324,1987.663,40,True
2020-08-11 08:40:30,1987.712,1988.122,1987.618,1987.77,36,True
2020-08-11 08:41:00,1987.727,1988.406,1987.552,1988.366,36,True
2020-08-11 08:41:30,1988.408,1988.815,1988.182,1988.815,27,True
2020-08-11 08:42:00,1988.767,1988.78,1987.852,1988.104,42,True
2020-08-11 08:42:30,1988.146,1988.424,1988.106,1988.424,26,True
2020-08-11 08:43:00,1988.474,1988.832,1988.294,1988.55,32,True
2020-08-11 08:43:30,1988.5,1988.5,1988.081,1988.382,45,True
2020-08-11 08:44:00,1988.328,1988.366,1987.925,1988.366,39,True
2020-08-11 08:44:30,1988.406,1988.531,1988.064,1988.066,31,True
2020-08-11 08:45:00,1988.022,1988.022,1986.927,1987.576,58,True
2020-08-11 08:45:30,1987.62,1987.662,1987.378,1987.568,20,True
2020-08-11 08:46:00,1987.616,1987.616,1986.872,1987.099,39,True
2020-08-11 08:46:30,1987.14,1987.394,1986.972,1987.014,28,True
2020-08-11 08:47:00,1987.056,1987.642,1987.039,1987.422,43,True
2020-08-11 08:47:30,1987.48,1987.55,1987.306,1987.389,16,True
2020-08-11 08:48:00,1987.347,1987.806,1986.886,1987.76,37,True
2020-08-11 08:48:30,1987.718,1988.026,1987.4,1987.404,34,True
2020-08-11 08:49:00,1987.36,1987.494,1987.02,1987.02,20,True
2020-08-11 08:49:30,1987.066,1988.076,1986.901,1987.929,39,True
2020-08-11 08:50:00,1987.888,1988.01,1987.582,1987.698,25,True
